Frame-No,RightHandIndex3-Joint-Posi-x,RightHandIndex3-Joint-Posi-y,RightHandIndex3-Joint-Posi-z,arm_length,forearm_length,hand_length,height
0.0,-0.198729,0.94309,0.247361,28.0,24.0,18.0,168.0
45.0,-0.200939,0.973086,0.303892,28.0,24.0,18.0,168.0
48.0,-0.203124,1.01716,0.354817,28.0,24.0,18.0,168.0
52.0,-0.209179,1.06265,0.410812,28.0,24.0,18.0,168.0
54.0,-0.214346,1.12238,0.468885,28.0,24.0,18.0,168.0
59.0,-0.221057,1.17402,0.520557,28.0,24.0,18.0,168.0
63.0,-0.225609,1.22666,0.563215,28.0,24.0,18.0,168.0
67.0,-0.231412,1.27736,0.6032,28.0,24.0,18.0,168.0
74.0,-0.242071,1.33062,0.642826,28.0,24.0,18.0,168.0
85.0,-0.255883,1.38167,0.678882,28.0,24.0,18.0,168.0
