Frame-No,RightHandIndex3-Joint-Posi-x,RightHandIndex3-Joint-Posi-y,RightHandIndex3-Joint-Posi-z,arm_length,forearm_length,hand_length,height
0.0,-0.188319,0.905705,0.2326,28.0,24.0,18.0,168.0
70.0,-0.213317,0.957629,0.287998,28.0,24.0,18.0,168.0
74.0,-0.237871,1.00875,0.343023,28.0,24.0,18.0,168.0
78.0,-0.266466,1.06828,0.392181,28.0,24.0,18.0,168.0
81.0,-0.294226,1.13318,0.43886,28.0,24.0,18.0,168.0
84.0,-0.318259,1.19159,0.469765,28.0,24.0,18.0,168.0
87.0,-0.340525,1.24769,0.49466,28.0,24.0,18.0,168.0
90.0,-0.366283,1.3222,0.52093,28.0,24.0,18.0,168.0
93.0,-0.382695,1.37644,0.534241,28.0,24.0,18.0,168.0
97.0,-0.414908,1.43202,0.548913,28.0,24.0,18.0,168.0
101.0,-0.441377,1.48416,0.55928,28.0,24.0,18.0,168.0
104.0,-0.4697,1.54328,0.563569,28.0,24.0,18.0,168.0
108.0,-0.489703,1.59549,0.566752,28.0,24.0,18.0,168.0
113.0,-0.510858,1.64973,0.563307,28.0,24.0,18.0,168.0
122.0,-0.53708,1.70606,0.549636,28.0,24.0,18.0,168.0
143.0,-0.552211,1.75689,0.520225,28.0,24.0,18.0,168.0
