Frame-No,RightHandIndex3-Joint-Posi-x,RightHandIndex3-Joint-Posi-y,RightHandIndex3-Joint-Posi-z,arm_length,forearm_length,hand_length,height
0.0,-0.188319,0.905705,0.2326,28.0,24.0,18.0,168.0
72.0,-0.213317,0.957629,0.287998,28.0,24.0,18.0,168.0
76.0,-0.237871,1.00875,0.343023,28.0,24.0,18.0,168.0
80.0,-0.266466,1.06828,0.392181,28.0,24.0,18.0,168.0
83.0,-0.294226,1.13318,0.43886,28.0,24.0,18.0,168.0
86.0,-0.325231,1.21072,0.477769,28.0,24.0,18.0,168.0
88.0,-0.360001,1.30284,0.514995,28.0,24.0,18.0,168.0
92.0,-0.382695,1.37644,0.534241,28.0,24.0,18.0,168.0
96.0,-0.414908,1.43202,0.548913,28.0,24.0,18.0,168.0
99.0,-0.441377,1.48416,0.55928,28.0,24.0,18.0,168.0
103.0,-0.4697,1.54328,0.563569,28.0,24.0,18.0,168.0
107.0,-0.489703,1.59549,0.566752,28.0,24.0,18.0,168.0
112.0,-0.510858,1.64973,0.563307,28.0,24.0,18.0,168.0
123.0,-0.53708,1.70606,0.549636,28.0,24.0,18.0,168.0
144.0,-0.552211,1.75689,0.520225,28.0,24.0,18.0,168.0
