Frame-No,RightHandIndex3-Joint-Posi-x,RightHandIndex3-Joint-Posi-y,RightHandIndex3-Joint-Posi-z
2,-0.202319,0.886016,0.225037
3,-0.202175,0.886094,0.225266
4,-0.201997,0.88621,0.225595
5,-0.201743,0.886322,0.22589
6,-0.201675,0.886408,0.226157
7,-0.201649,0.886433,0.226347
8,-0.201708,0.88645,0.22651
9,-0.20181,0.88647,0.226685
10,-0.201927,0.886488,0.226824
11,-0.202046,0.88651,0.226969
12,-0.202136,0.886537,0.227091
13,-0.202162,0.886571,0.227203
14,-0.202135,0.886633,0.227336
15,-0.202128,0.886675,0.227444
19,-0.202771,0.886724,0.22745
23,-0.203139,0.886699,0.227454
25,-0.203024,0.886637,0.227475
26,-0.203005,0.88659,0.227497
28,-0.20311,0.886517,0.227542
29,-0.203167,0.886492,0.227538
30,-0.203232,0.88651,0.227587
31,-0.203287,0.886524,0.227643
32,-0.203277,0.886577,0.227727
33,-0.203248,0.886628,0.227819
36,-0.203107,0.88686,0.228195
37,-0.203147,0.886918,0.228297
38,-0.203254,0.886907,0.228377
39,-0.203349,0.886906,0.228469
40,-0.203433,0.886898,0.22857
41,-0.203428,0.886897,0.22865
42,-0.203387,0.886908,0.228724
43,-0.203314,0.886953,0.228854
45,-0.203234,0.887063,0.229106
46,-0.203236,0.887108,0.22921
48,-0.203345,0.887138,0.22939
49,-0.203411,0.887131,0.229481
50,-0.203386,0.887099,0.229533
52,-0.203217,0.88705,0.229707
53,-0.203108,0.887044,0.229782
55,-0.203047,0.887025,0.229888
56,-0.203054,0.887032,0.229944
58,-0.203177,0.887109,0.23002
62,-0.20309,0.887391,0.230274
64,-0.202985,0.887465,0.230337
65,-0.20298,0.88749,0.230323
66,-0.202976,0.887493,0.230308
67,-0.202983,0.887484,0.230255
68,-0.20296,0.88746,0.230189
69,-0.202927,0.887387,0.230086
70,-0.202855,0.887324,0.230042
71,-0.202801,0.88727,0.230007
72,-0.202672,0.88725,0.230028
73,-0.202652,0.887258,0.230021
74,-0.202549,0.88719,0.229947
76,-0.202471,0.887182,0.22985
78,-0.202492,0.887141,0.229637
81,-0.202621,0.887027,0.229256
82,-0.202678,0.886994,0.229151
85,-0.202636,0.887009,0.228957
87,-0.202541,0.88705,0.228854
88,-0.202527,0.887069,0.228805
92,-0.202354,0.886943,0.228308
94,-0.201971,0.886923,0.228422
95,-0.201806,0.886882,0.228378
96,-0.201641,0.886795,0.228196
97,-0.201593,0.886737,0.228057
99,-0.201357,0.886329,0.227826
100,-0.201094,0.886109,0.227971
101,-0.200803,0.885972,0.228303
102,-0.200012,0.885851,0.228438
103,-0.199157,0.885823,0.228015
105,-0.198131,0.887262,0.228951
106,-0.198496,0.889713,0.231281
107,-0.1987,0.892349,0.234158
108,-0.200108,0.895602,0.237662
110,-0.204441,0.902712,0.245557
111,-0.20644,0.906794,0.25044
112,-0.207946,0.910519,0.255326
114,-0.210756,0.920513,0.268891
115,-0.211443,0.923926,0.275387
116,-0.212766,0.933087,0.285911
117,-0.213884,0.939105,0.294658
118,-0.215326,0.946763,0.305027
119,-0.217209,0.955287,0.316054
120,-0.218978,0.964092,0.326807
121,-0.221069,0.973241,0.33785
122,-0.223229,0.983737,0.350027
123,-0.225392,0.995136,0.362651
125,-0.230142,1.01778,0.386745
126,-0.232951,1.03036,0.399813
127,-0.235579,1.04337,0.413009
128,-0.237426,1.05657,0.425097
129,-0.239446,1.07079,0.438103
130,-0.241463,1.0843,0.450312
131,-0.242945,1.101,0.463003
132,-0.244538,1.11892,0.475202
133,-0.245691,1.13725,0.485769
136,-0.251105,1.19311,0.516856
138,-0.251602,1.23128,0.534118
139,-0.252279,1.24853,0.54234
140,-0.252247,1.26763,0.550071
143,-0.252704,1.32179,0.568949
145,-0.252447,1.358,0.580011
146,-0.251653,1.37473,0.585103
147,-0.251394,1.38809,0.5891
148,-0.251572,1.40245,0.593645
151,-0.251264,1.44354,0.604134
152,-0.252504,1.45413,0.608825
155,-0.254404,1.48789,0.618746
157,-0.254699,1.5101,0.624158
158,-0.254503,1.52041,0.626625
159,-0.254205,1.5304,0.628935
160,-0.253932,1.53869,0.630826
162,-0.25563,1.54304,0.629841
166,-0.248895,1.59035,0.641277
168,-0.247661,1.60438,0.643306
169,-0.246741,1.61129,0.644502
170,-0.245932,1.61814,0.645607
172,-0.243869,1.63052,0.647412
173,-0.243154,1.63573,0.647965
174,-0.24263,1.6417,0.648549
176,-0.242075,1.65334,0.649551
179,-0.24138,1.6657,0.650668
181,-0.242138,1.67352,0.650891
183,-0.243857,1.68211,0.650212
184,-0.245052,1.68675,0.649734
185,-0.246262,1.69099,0.649284
187,-0.247373,1.6975,0.64861
188,-0.247553,1.7006,0.648287
190,-0.247941,1.70646,0.647603
191,-0.247807,1.70966,0.647163
192,-0.248215,1.71313,0.646509
194,-0.250053,1.72015,0.644786
195,-0.251365,1.72313,0.643851
196,-0.251741,1.72603,0.643031
198,-0.251772,1.73123,0.641529
200,-0.251799,1.73254,0.641423
202,-0.256626,1.73222,0.641473
203,-0.26026,1.7322,0.641184
205,-0.25751,1.7432,0.638812
206,-0.259233,1.74309,0.638586
208,-0.261666,1.74286,0.63824
209,-0.259443,1.74929,0.636593
213,-0.261923,1.75379,0.63504
215,-0.263499,1.75549,0.634126
216,-0.263936,1.75633,0.633645
219,-0.264817,1.75755,0.633081
222,-0.266283,1.75786,0.632845
224,-0.267197,1.75846,0.632342
225,-0.26737,1.75864,0.632147
