Frame-No,RightHandIndex3-Joint-Posi-x,RightHandIndex3-Joint-Posi-y,RightHandIndex3-Joint-Posi-z
3,-0.206506,0.935608,0.262834
7,-0.206204,0.935567,0.262634
10,-0.206397,0.935501,0.262486
11,-0.206473,0.935458,0.262414
12,-0.206519,0.935435,0.262417
14,-0.20644,0.935407,0.262446
15,-0.206322,0.935416,0.26248
16,-0.206275,0.935404,0.262506
17,-0.206285,0.935383,0.262534
18,-0.206342,0.935354,0.262527
19,-0.206468,0.935283,0.262502
21,-0.206647,0.935134,0.262442
22,-0.20667,0.935077,0.262427
25,-0.206413,0.934978,0.262388
26,-0.206396,0.934981,0.262373
28,-0.206524,0.934993,0.262381
29,-0.206633,0.934995,0.262354
30,-0.206728,0.93501,0.262338
31,-0.206727,0.935044,0.262324
32,-0.206692,0.935044,0.262298
33,-0.206593,0.935054,0.262309
34,-0.206574,0.935063,0.26234
35,-0.206512,0.935094,0.262385
36,-0.206487,0.935123,0.262434
37,-0.206544,0.935137,0.262449
38,-0.206615,0.935121,0.262402
39,-0.206722,0.935083,0.262339
40,-0.206816,0.935072,0.262307
41,-0.206878,0.935102,0.262297
43,-0.206838,0.935223,0.262342
45,-0.206745,0.935256,0.262322
46,-0.2068,0.935226,0.262305
48,-0.207034,0.935028,0.262173
49,-0.207143,0.934922,0.262089
51,-0.20732,0.934782,0.261951
52,-0.207311,0.934741,0.261897
53,-0.207283,0.934703,0.261878
55,-0.207274,0.934716,0.261893
56,-0.207325,0.934746,0.261894
59,-0.207565,0.934769,0.261806
60,-0.207617,0.934784,0.261802
61,-0.20765,0.934794,0.261799
63,-0.207575,0.934834,0.261815
64,-0.207526,0.934857,0.261839
66,-0.207458,0.934872,0.26184
67,-0.207525,0.934861,0.261812
68,-0.207622,0.934848,0.261768
69,-0.207672,0.934813,0.261697
70,-0.207727,0.934799,0.261669
71,-0.207707,0.934791,0.261632
73,-0.207599,0.934829,0.261686
75,-0.207491,0.934879,0.261841
76,-0.20754,0.934901,0.261903
77,-0.207624,0.934893,0.261918
78,-0.207708,0.934895,0.261919
80,-0.207825,0.934927,0.261937
82,-0.207717,0.935021,0.262036
84,-0.207487,0.935104,0.262207
85,-0.207541,0.935143,0.262314
87,-0.207528,0.934984,0.262322
88,-0.207434,0.934863,0.26234
91,-0.206289,0.934186,0.262359
93,-0.204793,0.933665,0.262388
95,-0.204076,0.933502,0.263001
99,-0.205303,0.933734,0.2652
100,-0.204691,0.932528,0.264317
101,-0.203984,0.931661,0.263838
102,-0.204133,0.931488,0.263954
103,-0.206481,0.941224,0.275505
104,-0.208701,0.945642,0.280282
105,-0.211589,0.951034,0.285702
106,-0.214977,0.954074,0.289893
107,-0.2199,0.963179,0.297792
110,-0.235052,0.987855,0.321132
111,-0.240535,0.995769,0.329225
112,-0.246927,1.00527,0.338532
116,-0.276451,1.04359,0.37615
118,-0.292746,1.06464,0.395972
119,-0.300126,1.07598,0.405349
120,-0.308575,1.08868,0.415826
122,-0.326604,1.11548,0.436046
123,-0.335067,1.12859,0.444574
124,-0.337801,1.13715,0.446095
126,-0.362155,1.16548,0.470809
129,-0.386075,1.19602,0.493797
130,-0.395783,1.20823,0.501228
133,-0.421792,1.23694,0.520373
136,-0.441216,1.26398,0.536092
139,-0.459289,1.29061,0.548623
141,-0.47193,1.30623,0.554807
145,-0.493838,1.33357,0.56591
146,-0.49791,1.33989,0.568556
148,-0.508571,1.35184,0.57224
149,-0.514394,1.35636,0.572899
152,-0.529674,1.36961,0.574856
155,-0.539831,1.37844,0.57602
156,-0.542872,1.38138,0.576236
158,-0.550755,1.38433,0.574607
161,-0.564153,1.38773,0.569597
162,-0.568078,1.38786,0.567444
163,-0.570484,1.38886,0.566161
165,-0.574769,1.39062,0.563004
166,-0.576574,1.39256,0.561517
168,-0.579612,1.39623,0.55848
169,-0.585351,1.38335,0.551414
170,-0.586449,1.3846,0.549459
171,-0.587453,1.38513,0.547939
172,-0.589663,1.38198,0.544728
173,-0.590628,1.38028,0.543251
174,-0.590385,1.38275,0.543358
175,-0.588831,1.38478,0.544825
176,-0.587306,1.38748,0.546447
177,-0.585661,1.39087,0.548247
180,-0.585186,1.39846,0.550309
181,-0.585879,1.39882,0.550022
182,-0.586625,1.39792,0.549363
183,-0.586995,1.39603,0.548626
184,-0.587368,1.39397,0.547678
186,-0.587391,1.39182,0.546768
187,-0.587278,1.39165,0.546697
188,-0.587129,1.39207,0.546881
190,-0.586968,1.39329,0.547367
191,-0.587057,1.39342,0.547364
192,-0.587264,1.39297,0.547094
194,-0.587763,1.39106,0.546128
197,-0.588223,1.38811,0.544891
200,-0.588545,1.38782,0.544795
201,-0.588542,1.38785,0.54483
202,-0.588407,1.38781,0.544902
204,-0.589977,1.38679,0.543839
206,-0.590476,1.38724,0.543695
209,-0.590542,1.38731,0.543593
210,-0.590155,1.38723,0.543817
211,-0.589672,1.38711,0.544082
212,-0.589296,1.38721,0.544388
213,-0.589227,1.38756,0.544597
214,-0.589348,1.38818,0.544757
215,-0.589368,1.38878,0.544947
216,-0.589087,1.38949,0.54534
219,-0.587056,1.39039,0.546876
220,-0.586636,1.39048,0.547205
221,-0.586358,1.39075,0.547548
223,-0.58584,1.39188,0.548424
224,-0.585242,1.39254,0.549062
225,-0.58457,1.39309,0.549703
227,-0.582457,1.39426,0.551487
230,-0.577451,1.39742,0.555903
231,-0.575037,1.39957,0.558264
232,-0.572453,1.40193,0.560759
234,-0.567394,1.40661,0.56539
