Frame-No,RightHandIndex3-Joint-Posi-x,RightHandIndex3-Joint-Posi-y,RightHandIndex3-Joint-Posi-z,arm_length,forearm_length,hand_length,height
0,-0.198729,0.94309,0.247361,28,24,18,168
1,-0.198814,0.942956,0.24726,28,24,18,168
2,-0.198891,0.942831,0.247203,28,24,18,168
3,-0.198963,0.942785,0.247158,28,24,18,168
4,-0.199017,0.942765,0.247149,28,24,18,168
5,-0.19908,0.942795,0.247136,28,24,18,168
6,-0.199127,0.942811,0.247131,28,24,18,168
7,-0.199149,0.942806,0.247101,28,24,18,168
8,-0.199188,0.94278,0.247081,28,24,18,168
9,-0.199302,0.942759,0.247021,28,24,18,168
10,-0.199328,0.942771,0.247015,28,24,18,168
11,-0.199365,0.942806,0.247056,28,24,18,168
12,-0.199432,0.942859,0.247093,28,24,18,168
13,-0.199455,0.942857,0.24708,28,24,18,168
14,-0.199564,0.942775,0.246986,28,24,18,168
15,-0.199614,0.942705,0.246894,28,24,18,168
16,-0.199658,0.942659,0.246841,28,24,18,168
17,-0.199669,0.94262,0.246776,28,24,18,168
18,-0.199652,0.942628,0.24675,28,24,18,168
19,-0.199689,0.942647,0.246782,28,24,18,168
20,-0.19983,0.942493,0.246727,28,24,18,168
21,-0.199941,0.942413,0.24666,28,24,18,168
22,-0.199938,0.94243,0.24663,28,24,18,168
23,-0.19997,0.942541,0.246565,28,24,18,168
24,-0.200025,0.942544,0.246545,28,24,18,168
25,-0.200111,0.942527,0.246506,28,24,18,168
26,-0.200185,0.942489,0.246482,28,24,18,168
27,-0.200325,0.942381,0.246371,28,24,18,168
28,-0.200346,0.942315,0.246262,28,24,18,168
29,-0.200285,0.942293,0.246201,28,24,18,168
30,-0.200249,0.942231,0.246053,28,24,18,168
31,-0.200291,0.941964,0.2458,28,24,18,168
32,-0.200249,0.941732,0.245709,28,24,18,168
33,-0.200234,0.941523,0.24572,28,24,18,168
34,-0.20017,0.941348,0.245732,28,24,18,168
35,-0.199729,0.940888,0.245686,28,24,18,168
36,-0.199465,0.938431,0.245966,28,24,18,168
37,-0.199086,0.936933,0.246395,28,24,18,168
38,-0.199267,0.937078,0.248054,28,24,18,168
39,-0.199887,0.938651,0.251301,28,24,18,168
40,-0.200278,0.939474,0.253319,28,24,18,168
41,-0.200038,0.941804,0.259239,28,24,18,168
42,-0.199318,0.949775,0.273439,28,24,18,168
43,-0.199392,0.954442,0.280093,28,24,18,168
44,-0.200778,0.957938,0.28668,28,24,18,168
45,-0.200939,0.973086,0.303892,28,24,18,168
46,-0.202208,0.990139,0.323917,28,24,18,168
47,-0.202286,0.999432,0.333827,28,24,18,168
48,-0.203124,1.01716,0.354817,28,24,18,168
49,-0.203521,1.02701,0.366161,28,24,18,168
50,-0.205182,1.04592,0.3878,28,24,18,168
51,-0.207186,1.05416,0.39928,28,24,18,168
52,-0.209179,1.06265,0.410812,28,24,18,168
53,-0.2132,1.11145,0.457323,28,24,18,168
54,-0.214346,1.12238,0.468885,28,24,18,168
55,-0.215564,1.13303,0.480177,28,24,18,168
56,-0.216767,1.14205,0.489572,28,24,18,168
57,-0.218254,1.1526,0.500218,28,24,18,168
58,-0.219781,1.16319,0.510537,28,24,18,168
59,-0.221057,1.17402,0.520557,28,24,18,168
60,-0.222937,1.19473,0.538364,28,24,18,168
61,-0.223811,1.20593,0.547431,28,24,18,168
62,-0.225013,1.21292,0.555406,28,24,18,168
63,-0.225609,1.22666,0.563215,28,24,18,168
64,-0.226674,1.23609,0.570919,28,24,18,168
65,-0.227693,1.24564,0.578242,28,24,18,168
66,-0.23048,1.26959,0.597113,28,24,18,168
67,-0.231412,1.27736,0.6032,28,24,18,168
68,-0.233267,1.288,0.609218,28,24,18,168
69,-0.234334,1.29604,0.614835,28,24,18,168
70,-0.23521,1.30242,0.619381,28,24,18,168
71,-0.236341,1.30915,0.624448,28,24,18,168
72,-0.238006,1.30899,0.62456,28,24,18,168
73,-0.241026,1.32626,0.63904,28,24,18,168
74,-0.242071,1.33062,0.642826,28,24,18,168
75,-0.242897,1.33562,0.646863,28,24,18,168
76,-0.243456,1.3405,0.650506,28,24,18,168
77,-0.244751,1.3493,0.656625,28,24,18,168
78,-0.245303,1.35439,0.65979,28,24,18,168
79,-0.24645,1.35934,0.662825,28,24,18,168
80,-0.247593,1.36397,0.6656,28,24,18,168
81,-0.24862,1.36741,0.667686,28,24,18,168
82,-0.249539,1.37074,0.669798,28,24,18,168
83,-0.250518,1.37348,0.671751,28,24,18,168
84,-0.25332,1.3801,0.676789,28,24,18,168
85,-0.255883,1.38167,0.678882,28,24,18,168
86,-0.260009,1.3814,0.679596,28,24,18,168
87,-0.261205,1.38251,0.679944,28,24,18,168
88,-0.262564,1.38322,0.680057,28,24,18,168
89,-0.263765,1.38399,0.680043,28,24,18,168
90,-0.265293,1.38391,0.679739,28,24,18,168
91,-0.267332,1.38355,0.678893,28,24,18,168
92,-0.268747,1.3829,0.678187,28,24,18,168
93,-0.269524,1.38148,0.677398,28,24,18,168
94,-0.270599,1.38036,0.6766,28,24,18,168
95,-0.271855,1.37715,0.675774,28,24,18,168
96,-0.271367,1.37836,0.675587,28,24,18,168
97,-0.269473,1.38138,0.676332,28,24,18,168
98,-0.268265,1.3847,0.677095,28,24,18,168
99,-0.266274,1.3924,0.67862,28,24,18,168
100,-0.266887,1.39386,0.678751,28,24,18,168
101,-0.26713,1.39426,0.678791,28,24,18,168
102,-0.26717,1.39454,0.678847,28,24,18,168
103,-0.266825,1.3949,0.678997,28,24,18,168
104,-0.266057,1.39347,0.678859,28,24,18,168
105,-0.26596,1.39198,0.678606,28,24,18,168
106,-0.265979,1.39177,0.678574,28,24,18,168
107,-0.265806,1.39224,0.678676,28,24,18,168
108,-0.265469,1.39213,0.678682,28,24,18,168
109,-0.265271,1.39195,0.678681,28,24,18,168
110,-0.264822,1.39141,0.678649,28,24,18,168
111,-0.264407,1.39083,0.6786,28,24,18,168
112,-0.264005,1.39027,0.678549,28,24,18,168
113,-0.263762,1.38987,0.678505,28,24,18,168
114,-0.263459,1.38867,0.67828,28,24,18,168
115,-0.263544,1.38833,0.678182,28,24,18,168
116,-0.261992,1.38124,0.676758,28,24,18,168
117,-0.261093,1.37947,0.676448,28,24,18,168
118,-0.260563,1.37876,0.676341,28,24,18,168
119,-0.260698,1.3776,0.67606,28,24,18,168
120,-0.261412,1.37707,0.675863,28,24,18,168
121,-0.262207,1.37584,0.675448,28,24,18,168
122,-0.261634,1.37544,0.675401,28,24,18,168
123,-0.26096,1.37501,0.675366,28,24,18,168
124,-0.260645,1.37465,0.675328,28,24,18,168
125,-0.260813,1.37442,0.675273,28,24,18,168
126,-0.261167,1.37444,0.675251,28,24,18,168
127,-0.256459,1.37053,0.675435,28,24,18,168
128,-0.256425,1.37093,0.675504,28,24,18,168
129,-0.256909,1.37163,0.675596,28,24,18,168
130,-0.257459,1.37215,0.675654,28,24,18,168
131,-0.25805,1.37275,0.675747,28,24,18,168
132,-0.258736,1.37354,0.675899,28,24,18,168
133,-0.259414,1.37431,0.676078,28,24,18,168
134,-0.259904,1.37508,0.676279,28,24,18,168
135,-0.260641,1.37563,0.676424,28,24,18,168
136,-0.261475,1.37632,0.676603,28,24,18,168
137,-0.262487,1.37709,0.676788,28,24,18,168
138,-0.263625,1.37791,0.677004,28,24,18,168
139,-0.264546,1.37864,0.677248,28,24,18,168
140,-0.265566,1.37937,0.677555,28,24,18,168
141,-0.267424,1.38078,0.678136,28,24,18,168
142,-0.269558,1.38164,0.678473,28,24,18,168
143,-0.270759,1.38243,0.678685,28,24,18,168
144,-0.271705,1.38362,0.67898,28,24,18,168
145,-0.271855,1.3854,0.679437,28,24,18,168
146,-0.272087,1.38649,0.6797,28,24,18,168
147,-0.27084,1.38966,0.680183,28,24,18,168
148,-0.269946,1.39117,0.680205,28,24,18,168
149,-0.269,1.3931,0.680221,28,24,18,168
