Frame-No,RightHandIndex3-Joint-Posi-x,RightHandIndex3-Joint-Posi-y,RightHandIndex3-Joint-Posi-z,arm_length,forearm_length,hand_length,height
0,-0.17528,0.922173,0.250871,28,24,18,168
1,-0.175111,0.922243,0.250727,28,24,18,168
2,-0.175153,0.922267,0.250711,28,24,18,168
3,-0.175171,0.922281,0.250701,28,24,18,168
4,-0.175163,0.922299,0.250697,28,24,18,168
5,-0.175109,0.922317,0.250668,28,24,18,168
6,-0.175036,0.922379,0.250641,28,24,18,168
7,-0.174968,0.922431,0.250604,28,24,18,168
8,-0.174919,0.922466,0.250542,28,24,18,168
9,-0.174927,0.922498,0.250404,28,24,18,168
10,-0.174918,0.922502,0.250316,28,24,18,168
11,-0.174834,0.922465,0.25015,28,24,18,168
12,-0.174704,0.922405,0.24996,28,24,18,168
13,-0.174627,0.922381,0.249855,28,24,18,168
14,-0.174544,0.922389,0.249768,28,24,18,168
15,-0.174497,0.922392,0.249677,28,24,18,168
16,-0.174463,0.92241,0.249624,28,24,18,168
17,-0.174404,0.922443,0.249575,28,24,18,168
18,-0.174383,0.922448,0.249536,28,24,18,168
19,-0.174377,0.922437,0.249508,28,24,18,168
20,-0.1743,0.922408,0.249404,28,24,18,168
21,-0.174124,0.9224,0.249185,28,24,18,168
22,-0.174102,0.922453,0.249107,28,24,18,168
23,-0.174096,0.922513,0.24869,28,24,18,168
24,-0.173973,0.92244,0.248395,28,24,18,168
25,-0.173915,0.922441,0.248327,28,24,18,168
26,-0.173741,0.922433,0.248108,28,24,18,168
27,-0.17371,0.92242,0.248052,28,24,18,168
28,-0.173609,0.922387,0.247927,28,24,18,168
29,-0.173542,0.922323,0.24782,28,24,18,168
30,-0.173428,0.922332,0.247575,28,24,18,168
31,-0.17343,0.922369,0.247541,28,24,18,168
32,-0.173478,0.922424,0.247528,28,24,18,168
33,-0.173576,0.922501,0.247394,28,24,18,168
34,-0.17356,0.922446,0.247329,28,24,18,168
35,-0.173127,0.922078,0.247449,28,24,18,168
36,-0.172755,0.921738,0.248248,28,24,18,168
37,-0.172629,0.921748,0.248182,28,24,18,168
38,-0.172629,0.922096,0.248092,28,24,18,168
39,-0.173593,0.922378,0.248453,28,24,18,168
