Frame-No,RightHandIndex3-Joint-Posi-x,RightHandIndex3-Joint-Posi-y,RightHandIndex3-Joint-Posi-z,arm_length,forearm_length,hand_length,height
0,-0.202246,0.885894,0.224759,28,24,18,168
1,-0.202175,0.886094,0.225266,28,24,18,168
2,-0.201997,0.88621,0.225595,28,24,18,168
3,-0.201675,0.886408,0.226157,28,24,18,168
4,-0.201649,0.886433,0.226347,28,24,18,168
5,-0.201708,0.88645,0.22651,28,24,18,168
6,-0.202136,0.886537,0.227091,28,24,18,168
7,-0.202162,0.886571,0.227203,28,24,18,168
8,-0.202128,0.886675,0.227444,28,24,18,168
9,-0.202164,0.886726,0.227528,28,24,18,168
10,-0.20233,0.886757,0.227555,28,24,18,168
11,-0.202771,0.886724,0.22745,28,24,18,168
12,-0.203139,0.886699,0.227454,28,24,18,168
13,-0.203068,0.886676,0.227471,28,24,18,168
14,-0.203024,0.886637,0.227475,28,24,18,168
15,-0.203046,0.886549,0.227533,28,24,18,168
16,-0.203167,0.886492,0.227538,28,24,18,168
17,-0.203232,0.88651,0.227587,28,24,18,168
18,-0.203287,0.886524,0.227643,28,24,18,168
19,-0.203248,0.886628,0.227819,28,24,18,168
20,-0.203182,0.88671,0.227937,28,24,18,168
21,-0.203107,0.88686,0.228195,28,24,18,168
22,-0.203349,0.886906,0.228469,28,24,18,168
23,-0.203387,0.886908,0.228724,28,24,18,168
24,-0.203314,0.886953,0.228854,28,24,18,168
25,-0.203234,0.886992,0.228964,28,24,18,168
26,-0.203234,0.887063,0.229106,28,24,18,168
27,-0.203283,0.887122,0.229286,28,24,18,168
28,-0.203386,0.887099,0.229533,28,24,18,168
29,-0.203324,0.887075,0.229622,28,24,18,168
30,-0.203108,0.887044,0.229782,28,24,18,168
31,-0.203047,0.887025,0.229888,28,24,18,168
32,-0.203114,0.887053,0.229966,28,24,18,168
33,-0.203177,0.887109,0.23002,28,24,18,168
34,-0.203188,0.887177,0.230063,28,24,18,168
35,-0.20319,0.887231,0.230107,28,24,18,168
36,-0.203144,0.88732,0.230203,28,24,18,168
37,-0.203049,0.887437,0.230311,28,24,18,168
38,-0.202985,0.887465,0.230337,28,24,18,168
39,-0.202976,0.887493,0.230308,28,24,18,168
40,-0.202983,0.887484,0.230255,28,24,18,168
41,-0.202855,0.887324,0.230042,28,24,18,168
42,-0.202801,0.88727,0.230007,28,24,18,168
43,-0.202672,0.88725,0.230028,28,24,18,168
44,-0.202652,0.887258,0.230021,28,24,18,168
45,-0.202549,0.88719,0.229947,28,24,18,168
46,-0.202521,0.88719,0.22991,28,24,18,168
47,-0.202471,0.887182,0.22985,28,24,18,168
48,-0.202492,0.887141,0.229637,28,24,18,168
49,-0.202523,0.887098,0.229485,28,24,18,168
50,-0.202604,0.887053,0.229357,28,24,18,168
51,-0.202678,0.886994,0.229151,28,24,18,168
52,-0.202706,0.887005,0.229155,28,24,18,168
53,-0.202692,0.886988,0.229003,28,24,18,168
54,-0.202636,0.887009,0.228957,28,24,18,168
55,-0.202588,0.887032,0.228912,28,24,18,168
56,-0.202515,0.887065,0.228703,28,24,18,168
57,-0.202517,0.887053,0.228602,28,24,18,168
58,-0.202516,0.887008,0.228414,28,24,18,168
59,-0.202354,0.886943,0.228308,28,24,18,168
60,-0.202125,0.886921,0.228342,28,24,18,168
61,-0.201971,0.886923,0.228422,28,24,18,168
62,-0.201806,0.886882,0.228378,28,24,18,168
63,-0.201357,0.886329,0.227826,28,24,18,168
64,-0.201094,0.886109,0.227971,28,24,18,168
65,-0.200012,0.885851,0.228438,28,24,18,168
66,-0.199157,0.885823,0.228015,28,24,18,168
67,-0.198452,0.88631,0.228093,28,24,18,168
68,-0.198131,0.887262,0.228951,28,24,18,168
69,-0.198496,0.889713,0.231281,28,24,18,168
70,-0.204441,0.902712,0.245557,28,24,18,168
71,-0.207946,0.910519,0.255326,28,24,18,168
72,-0.209438,0.915186,0.261608,28,24,18,168
73,-0.210756,0.920513,0.268891,28,24,18,168
74,-0.211443,0.923926,0.275387,28,24,18,168
75,-0.213884,0.939105,0.294658,28,24,18,168
76,-0.217209,0.955287,0.316054,28,24,18,168
77,-0.218978,0.964092,0.326807,28,24,18,168
78,-0.221069,0.973241,0.33785,28,24,18,168
79,-0.223229,0.983737,0.350027,28,24,18,168
80,-0.225392,0.995136,0.362651,28,24,18,168
81,-0.227319,1.00711,0.374783,28,24,18,168
82,-0.230142,1.01778,0.386745,28,24,18,168
83,-0.232951,1.03036,0.399813,28,24,18,168
84,-0.235579,1.04337,0.413009,28,24,18,168
85,-0.237426,1.05657,0.425097,28,24,18,168
86,-0.241463,1.0843,0.450312,28,24,18,168
87,-0.244538,1.11892,0.475202,28,24,18,168
88,-0.250805,1.16767,0.506783,28,24,18,168
89,-0.251105,1.19311,0.516856,28,24,18,168
90,-0.251602,1.23128,0.534118,28,24,18,168
91,-0.252279,1.24853,0.54234,28,24,18,168
92,-0.25168,1.28577,0.556125,28,24,18,168
93,-0.251926,1.30469,0.562699,28,24,18,168
94,-0.252704,1.32179,0.568949,28,24,18,168
95,-0.252816,1.34017,0.574638,28,24,18,168
96,-0.251653,1.37473,0.585103,28,24,18,168
97,-0.251572,1.40245,0.593645,28,24,18,168
98,-0.253215,1.41393,0.598919,28,24,18,168
99,-0.251264,1.44354,0.604134,28,24,18,168
100,-0.252504,1.45413,0.608825,28,24,18,168
101,-0.252663,1.46699,0.612092,28,24,18,168
102,-0.254404,1.48789,0.618746,28,24,18,168
103,-0.254543,1.49944,0.621433,28,24,18,168
104,-0.254699,1.5101,0.624158,28,24,18,168
105,-0.254503,1.52041,0.626625,28,24,18,168
106,-0.254205,1.5304,0.628935,28,24,18,168
107,-0.253932,1.53869,0.630826,28,24,18,168
108,-0.252518,1.56549,0.637362,28,24,18,168
109,-0.251407,1.57413,0.638372,28,24,18,168
110,-0.250036,1.58235,0.639993,28,24,18,168
111,-0.248083,1.5979,0.642397,28,24,18,168
112,-0.244927,1.62446,0.646596,28,24,18,168
113,-0.24263,1.6417,0.648549,28,24,18,168
114,-0.242366,1.64767,0.64906,28,24,18,168
115,-0.242075,1.65334,0.649551,28,24,18,168
116,-0.242058,1.6578,0.649909,28,24,18,168
117,-0.24138,1.6657,0.650668,28,24,18,168
118,-0.241531,1.66945,0.650915,28,24,18,168
119,-0.242138,1.67352,0.650891,28,24,18,168
120,-0.243857,1.68211,0.650212,28,24,18,168
121,-0.245052,1.68675,0.649734,28,24,18,168
122,-0.247022,1.69419,0.648947,28,24,18,168
123,-0.247373,1.6975,0.64861,28,24,18,168
124,-0.247678,1.70371,0.647941,28,24,18,168
125,-0.247807,1.70966,0.647163,28,24,18,168
126,-0.248978,1.71666,0.645709,28,24,18,168
127,-0.250053,1.72015,0.644786,28,24,18,168
128,-0.251365,1.72313,0.643851,28,24,18,168
