Frame-No,RightHandIndex3-Joint-Posi-x,RightHandIndex3-Joint-Posi-y,RightHandIndex3-Joint-Posi-z,arm_length,forearm_length,hand_length,height
0,-0.212962,0.925747,0.26667,28,24,18,168
1,-0.212931,0.925777,0.266711,28,24,18,168
2,-0.21295,0.925801,0.266737,28,24,18,168
3,-0.212974,0.925831,0.266776,28,24,18,168
4,-0.212964,0.925861,0.2668,28,24,18,168
5,-0.212985,0.925907,0.266833,28,24,18,168
6,-0.212977,0.925945,0.266872,28,24,18,168
7,-0.212931,0.926005,0.266902,28,24,18,168
8,-0.21288,0.926053,0.266957,28,24,18,168
9,-0.212855,0.926056,0.266944,28,24,18,168
10,-0.212775,0.926084,0.266959,28,24,18,168
11,-0.212766,0.92612,0.266973,28,24,18,168
12,-0.212831,0.926132,0.26694,28,24,18,168
13,-0.212909,0.926102,0.266897,28,24,18,168
14,-0.21296,0.926083,0.266858,28,24,18,168
15,-0.212996,0.926053,0.266794,28,24,18,168
16,-0.213025,0.926044,0.266774,28,24,18,168
17,-0.213006,0.926049,0.266769,28,24,18,168
18,-0.212934,0.926086,0.266808,28,24,18,168
19,-0.212851,0.9261,0.26683,28,24,18,168
20,-0.212784,0.926131,0.266855,28,24,18,168
21,-0.212771,0.926178,0.266897,28,24,18,168
22,-0.212802,0.926194,0.266878,28,24,18,168
23,-0.212826,0.926215,0.266849,28,24,18,168
24,-0.21289,0.926262,0.266862,28,24,18,168
25,-0.212893,0.926298,0.266783,28,24,18,168
26,-0.212907,0.926413,0.266856,28,24,18,168
27,-0.21286,0.926492,0.266869,28,24,18,168
28,-0.212811,0.926531,0.266837,28,24,18,168
29,-0.212731,0.926553,0.266786,28,24,18,168
30,-0.212694,0.926559,0.26674,28,24,18,168
31,-0.212705,0.926542,0.26666,28,24,18,168
32,-0.212757,0.926514,0.266597,28,24,18,168
33,-0.212776,0.926452,0.26651,28,24,18,168
34,-0.212868,0.926414,0.266402,28,24,18,168
35,-0.212933,0.926355,0.266302,28,24,18,168
36,-0.212913,0.926291,0.266208,28,24,18,168
37,-0.212876,0.926236,0.266137,28,24,18,168
38,-0.212814,0.926193,0.266098,28,24,18,168
39,-0.212724,0.926178,0.266073,28,24,18,168
40,-0.212761,0.926176,0.266084,28,24,18,168
41,-0.212805,0.926177,0.266082,28,24,18,168
42,-0.212843,0.926189,0.266058,28,24,18,168
43,-0.212874,0.926195,0.266021,28,24,18,168
44,-0.212811,0.926118,0.26586,28,24,18,168
45,-0.212813,0.926103,0.265795,28,24,18,168
46,-0.212762,0.926095,0.26573,28,24,18,168
47,-0.21273,0.92608,0.26569,28,24,18,168
48,-0.212635,0.926042,0.265626,28,24,18,168
49,-0.21253,0.926005,0.265567,28,24,18,168
50,-0.212331,0.926062,0.265635,28,24,18,168
51,-0.212278,0.926024,0.265544,28,24,18,168
52,-0.21224,0.925972,0.265448,28,24,18,168
53,-0.211963,0.92581,0.265285,28,24,18,168
54,-0.211789,0.925645,0.265176,28,24,18,168
55,-0.211775,0.925355,0.265057,28,24,18,168
56,-0.211569,0.925119,0.265122,28,24,18,168
57,-0.211245,0.924755,0.264905,28,24,18,168
58,-0.210882,0.924394,0.264541,28,24,18,168
59,-0.21052,0.923932,0.26383,28,24,18,168
60,-0.210417,0.924183,0.263986,28,24,18,168
61,-0.210582,0.924592,0.26414,28,24,18,168
62,-0.210834,0.925206,0.264555,28,24,18,168
63,-0.21141,0.925451,0.264734,28,24,18,168
64,-0.212069,0.925306,0.264701,28,24,18,168
65,-0.212339,0.924315,0.264126,28,24,18,168
66,-0.212239,0.924053,0.264627,28,24,18,168
67,-0.211415,0.923712,0.264989,28,24,18,168
68,-0.209825,0.923999,0.26599,28,24,18,168
69,-0.207708,0.925508,0.267902,28,24,18,168
70,-0.205178,0.928343,0.270828,28,24,18,168
71,-0.203052,0.931464,0.27388,28,24,18,168
72,-0.200953,0.935493,0.277784,28,24,18,168
73,-0.199146,0.939486,0.281806,28,24,18,168
74,-0.197503,0.943251,0.285988,28,24,18,168
75,-0.195656,0.946906,0.290392,28,24,18,168
76,-0.19381,0.949917,0.294697,28,24,18,168
77,-0.190959,0.953333,0.299813,28,24,18,168
78,-0.187911,0.956757,0.305261,28,24,18,168
79,-0.184521,0.960253,0.310718,28,24,18,168
80,-0.182012,0.963353,0.316177,28,24,18,168
81,-0.179012,0.967327,0.322569,28,24,18,168
82,-0.176278,0.971812,0.329495,28,24,18,168
83,-0.173314,0.97679,0.336895,28,24,18,168
84,-0.171952,0.980969,0.343624,28,24,18,168
85,-0.170964,0.984975,0.350701,28,24,18,168
86,-0.162276,0.993948,0.359748,28,24,18,168
87,-0.157641,1.00087,0.368128,28,24,18,168
88,-0.153036,1.00792,0.375968,28,24,18,168
89,-0.149564,1.01419,0.38421,28,24,18,168
90,-0.145286,1.02159,0.393084,28,24,18,168
91,-0.141087,1.02941,0.402267,28,24,18,168
92,-0.13668,1.03739,0.41067,28,24,18,168
93,-0.132841,1.04498,0.419724,28,24,18,168
94,-0.128376,1.05326,0.428957,28,24,18,168
95,-0.123214,1.06205,0.438032,28,24,18,168
96,-0.117876,1.07136,0.446981,28,24,18,168
97,-0.112757,1.08061,0.45478,28,24,18,168
98,-0.107866,1.09022,0.463309,28,24,18,168
99,-0.102606,1.10078,0.471901,28,24,18,168
100,-0.0973642,1.11152,0.480403,28,24,18,168
101,-0.0921553,1.12174,0.487625,28,24,18,168
102,-0.0876772,1.13123,0.495526,28,24,18,168
103,-0.0825749,1.14137,0.503145,28,24,18,168
104,-0.0775332,1.15093,0.510427,28,24,18,168
105,-0.0724929,1.15952,0.51641,28,24,18,168
106,-0.0671216,1.16852,0.523078,28,24,18,168
107,-0.0621239,1.17689,0.529465,28,24,18,168
108,-0.0564045,1.18617,0.535475,28,24,18,168
109,-0.0509303,1.1957,0.541263,28,24,18,168
110,-0.0482168,1.20151,0.546193,28,24,18,168
111,-0.0435478,1.20838,0.545507,28,24,18,168
112,-0.0371883,1.22171,0.556583,28,24,18,168
113,-0.0327634,1.2299,0.561555,28,24,18,168
114,-0.0282575,1.23753,0.566242,28,24,18,168
115,-0.0263983,1.23952,0.565778,28,24,18,168
116,-0.0197927,1.25049,0.57419,28,24,18,168
117,-0.015294,1.25739,0.578123,28,24,18,168
118,-0.0113456,1.26374,0.581332,28,24,18,168
119,-0.00733927,1.27096,0.58513,28,24,18,168
120,-0.00374393,1.27778,0.588901,28,24,18,168
121,-0.000203794,1.28458,0.592427,28,24,18,168
122,9.67607e-05,1.28619,0.59248,28,24,18,168
123,0.00621382,1.29546,0.5983,28,24,18,168
124,0.00956421,1.3,0.60112,28,24,18,168
125,0.0129986,1.30406,0.603789,28,24,18,168
126,0.0162154,1.30815,0.606436,28,24,18,168
127,0.0189886,1.3125,0.609058,28,24,18,168
128,0.0209816,1.31618,0.611196,28,24,18,168
129,0.023581,1.32044,0.613261,28,24,18,168
130,0.0256655,1.32379,0.615296,28,24,18,168
131,0.0281287,1.32702,0.617063,28,24,18,168
132,0.030056,1.32959,0.618614,28,24,18,168
133,0.0322429,1.33277,0.620335,28,24,18,168
134,0.0339263,1.3357,0.622065,28,24,18,168
135,0.0352382,1.33835,0.623642,28,24,18,168
136,0.0363132,1.34051,0.625014,28,24,18,168
137,0.0350685,1.3395,0.625503,28,24,18,168
138,0.0334764,1.33785,0.62607,28,24,18,168
139,0.0319008,1.33594,0.62658,28,24,18,168
140,0.0394131,1.34719,0.630263,28,24,18,168
141,0.0399594,1.34848,0.631189,28,24,18,168
142,0.0407068,1.35057,0.632135,28,24,18,168
143,0.0410143,1.35257,0.633141,28,24,18,168
144,0.0420531,1.3548,0.633809,28,24,18,168
145,0.0428054,1.35685,0.634469,28,24,18,168
146,0.0439635,1.35906,0.635036,28,24,18,168
147,0.0403616,1.36025,0.637407,28,24,18,168
148,0.0403701,1.36113,0.638088,28,24,18,168
149,0.0404754,1.3618,0.638595,28,24,18,168
