Frame-No,RightHandIndex3-Joint-Posi-x,RightHandIndex3-Joint-Posi-y,RightHandIndex3-Joint-Posi-z
0,-0.235643,0.889725,0.216505
1,-0.235454,0.889653,0.216435
2,-0.2354,0.889634,0.216388
3,-0.23542,0.889611,0.21631
4,-0.235521,0.889595,0.216221
5,-0.235674,0.889576,0.216116
6,-0.235841,0.889566,0.216032
7,-0.235918,0.889535,0.215957
8,-0.235899,0.889415,0.215787
9,-0.235665,0.88917,0.215538
10,-0.239729,0.888086,0.220189
11,-0.238977,0.887652,0.219912
12,-0.237985,0.887175,0.219633
13,-0.236545,0.886524,0.219253
14,-0.234455,0.885755,0.218934
15,-0.232451,0.885456,0.219126
16,-0.23034,0.885621,0.219924
17,-0.227303,0.886444,0.221806
18,-0.223758,0.888073,0.224784
19,-0.220329,0.890774,0.228918
20,-0.218023,0.892657,0.231827
21,-0.216475,0.894473,0.234489
22,-0.214549,0.896888,0.237942
23,-0.21267,0.899986,0.242105
24,-0.210882,0.904301,0.247486
25,-0.20931,0.909119,0.253147
26,-0.207377,0.916004,0.260774
27,-0.206048,0.920589,0.265811
28,-0.203834,0.933123,0.277887
29,-0.202336,0.941391,0.285429
30,-0.200331,0.951544,0.294185
31,-0.197791,0.962207,0.302851
32,-0.210861,0.974096,0.367555
33,-0.208306,0.986682,0.382122
34,-0.206226,0.998369,0.39657
35,-0.203228,1.01273,0.41227
36,-0.200004,1.02815,0.427906
37,-0.196772,1.04447,0.443308
38,-0.194064,1.05901,0.456207
39,-0.1929,1.07048,0.468838
40,-0.185589,1.09161,0.476123
41,-0.179849,1.10686,0.480683
42,-0.178945,1.131,0.510105
43,-0.173896,1.14924,0.522339
44,-0.167357,1.16843,0.533739
45,-0.160473,1.18801,0.544258
46,-0.153761,1.20719,0.552757
47,-0.148558,1.22523,0.561719
48,-0.142616,1.24521,0.569941
49,-0.136841,1.26481,0.577332
50,-0.13112,1.28359,0.584142
51,-0.126179,1.29875,0.58965
52,-0.12018,1.31534,0.595596
53,-0.113669,1.33085,0.600866
54,-0.106636,1.34542,0.605401
55,-0.100156,1.35824,0.608434
56,-0.096992,1.36725,0.613079
57,-0.0879873,1.38365,0.615463
58,-0.081996,1.39645,0.61851
59,-0.076578,1.4078,0.620701
60,-0.0716799,1.41884,0.623606
61,-0.0663279,1.42972,0.625874
62,-0.0611506,1.43986,0.627991
63,-0.0566573,1.44862,0.630371
64,-0.0525975,1.45588,0.632279
65,-0.0484751,1.46357,0.634639
66,-0.0444402,1.47119,0.636725
67,-0.0409254,1.47757,0.638827
68,-0.0378135,1.48576,0.639965
69,-0.0345694,1.49332,0.64137
70,-0.0312992,1.50122,0.642416
71,-0.0313899,1.50374,0.641755
72,-0.0254578,1.5161,0.64382
73,-0.0224614,1.52314,0.644419
74,-0.0197655,1.53025,0.644703
75,-0.0172791,1.53715,0.644872
76,-0.0148337,1.54389,0.645036
77,-0.0128974,1.54998,0.645182
78,-0.0105343,1.55652,0.64541
79,-0.00833102,1.56283,0.645478
80,-0.00605855,1.56858,0.645334
81,-0.00392508,1.57347,0.644941
82,-0.00115561,1.57853,0.644387
83,0.00157077,1.58383,0.643752
84,0.00422102,1.58907,0.643054
85,0.00649134,1.59394,0.642412
86,0.00796065,1.59794,0.641993
87,0.00931324,1.60197,0.641689
88,0.0104503,1.606,0.64139
89,0.0116769,1.60992,0.640985
90,0.0127515,1.61337,0.640422
91,0.0141619,1.61696,0.639707
92,0.0152224,1.6206,0.638964
93,0.0155023,1.62403,0.638472
94,0.0148822,1.62691,0.638423
95,0.0130486,1.62742,0.638957
96,0.0106633,1.62773,0.639826
97,0.00851125,1.62777,0.640756
98,0.0069771,1.6277,0.641496
99,0.00589462,1.62781,0.641962
100,0.00504389,1.62788,0.642337
101,0.00384504,1.62838,0.64264
102,0.00202957,1.6292,0.643014
103,-0.000486882,1.63019,0.643557
104,0.00347715,1.65121,0.640869
105,0.00106227,1.65387,0.64116
106,-0.000982234,1.65634,0.64133
107,-0.00273051,1.6585,0.641433
108,-0.00414114,1.66072,0.641444
109,-0.0055601,1.66272,0.641541
110,-0.00748299,1.66457,0.641824
111,-0.00976523,1.66643,0.642211
112,-0.0118975,1.66797,0.642573
113,-0.013713,1.66955,0.642887
114,-0.0152339,1.67114,0.64305
115,-0.0164135,1.67289,0.642984
116,-0.0175019,1.67491,0.64273
117,-0.0184696,1.67679,0.64242
118,-0.0186757,1.67839,0.642031
119,-0.0207222,1.68026,0.64191
120,-0.0215932,1.68121,0.64183
121,-0.0222651,1.6821,0.641755
122,-0.0230918,1.68316,0.641684
123,-0.0255442,1.68483,0.641908
124,-0.026329,1.68545,0.64195
125,-0.0269874,1.68591,0.641977
126,-0.0275662,1.68645,0.641962
127,-0.0281514,1.68681,0.641995
128,-0.028427,1.68695,0.642079
129,-0.0285114,1.687,0.642151
130,-0.0284833,1.68722,0.642082
131,-0.0284998,1.68777,0.641861
132,-0.0284996,1.68859,0.641474
133,-0.0286421,1.68948,0.641061
134,-0.0287486,1.69007,0.640746
135,-0.0288097,1.69026,0.640624
136,-0.0287511,1.6902,0.640628
137,-0.0286846,1.69,0.640732
138,-0.0288418,1.69021,0.640741
139,-0.0285536,1.69018,0.640652
140,-0.0284376,1.69058,0.640409
141,-0.0284316,1.69092,0.640141
