Frame-No,RightHandIndex3-Joint-Posi-x,RightHandIndex3-Joint-Posi-y,RightHandIndex3-Joint-Posi-z
0,-0.213088,0.905977,0.224871
1,-0.21312,0.905941,0.224834
2,-0.213134,0.905886,0.224751
3,-0.21314,0.905823,0.224695
4,-0.213084,0.905767,0.224603
5,-0.213024,0.905739,0.224542
6,-0.212939,0.905733,0.224514
7,-0.212797,0.905744,0.224502
8,-0.212658,0.905758,0.224485
9,-0.212511,0.905746,0.22447
10,-0.212445,0.905737,0.224481
11,-0.212419,0.905719,0.22448
12,-0.212405,0.905679,0.224476
13,-0.212404,0.905636,0.224445
14,-0.212416,0.905581,0.224409
15,-0.212401,0.905561,0.224383
16,-0.212402,0.90556,0.224372
17,-0.212393,0.905591,0.224378
18,-0.212389,0.905624,0.224414
19,-0.2124,0.905668,0.224459
20,-0.21241,0.905701,0.224498
21,-0.212388,0.905731,0.22453
22,-0.212333,0.905733,0.224556
23,-0.212251,0.905713,0.224538
24,-0.212211,0.905695,0.224502
25,-0.212166,0.90566,0.22441
26,-0.212073,0.905653,0.224335
27,-0.212023,0.905668,0.224291
28,-0.211988,0.905692,0.22426
29,-0.211953,0.905705,0.224225
30,-0.211938,0.905717,0.224215
31,-0.211887,0.905694,0.22418
32,-0.211861,0.905648,0.22412
33,-0.211816,0.905585,0.224042
34,-0.21177,0.905514,0.22394
35,-0.211698,0.905434,0.223817
36,-0.211638,0.905385,0.223737
37,-0.211616,0.905352,0.22364
38,-0.211641,0.905375,0.223577
39,-0.211693,0.905407,0.223572
40,-0.211721,0.905461,0.223583
41,-0.211738,0.905503,0.223593
42,-0.211772,0.905562,0.223631
43,-0.211752,0.905599,0.223614
44,-0.211727,0.905608,0.223596
45,-0.211708,0.905593,0.223529
46,-0.211676,0.905565,0.223436
47,-0.211656,0.905529,0.223329
48,-0.211666,0.905473,0.223218
49,-0.211694,0.905438,0.223109
50,-0.211717,0.905429,0.223062
51,-0.211722,0.905428,0.223029
52,-0.211694,0.905447,0.223018
53,-0.211656,0.905459,0.222988
54,-0.211638,0.905452,0.222971
55,-0.211556,0.90545,0.222953
56,-0.211503,0.905429,0.22291
57,-0.211438,0.905417,0.222863
58,-0.211466,0.905416,0.222823
59,-0.211516,0.905421,0.222783
60,-0.211588,0.905431,0.222743
61,-0.211612,0.905444,0.2227
62,-0.211685,0.905484,0.222682
63,-0.21174,0.905528,0.222676
64,-0.211863,0.905577,0.222655
65,-0.211957,0.905609,0.222636
66,-0.212066,0.905631,0.222601
67,-0.212133,0.905633,0.222542
68,-0.212246,0.905594,0.222445
69,-0.212298,0.905566,0.22238
70,-0.21232,0.905535,0.222337
71,-0.21232,0.905514,0.222291
72,-0.212288,0.905532,0.222293
73,-0.212206,0.905572,0.222309
74,-0.212063,0.905599,0.222336
75,-0.211902,0.905602,0.222338
76,-0.211763,0.905603,0.222384
77,-0.211636,0.905577,0.222413
78,-0.21152,0.905524,0.222383
79,-0.211308,0.905465,0.222339
80,-0.211187,0.905456,0.222358
81,-0.211038,0.905407,0.222338
82,-0.210762,0.905364,0.222366
83,-0.210433,0.905416,0.22258
84,-0.210223,0.905517,0.222852
85,-0.209979,0.905697,0.22323
86,-0.209703,0.905797,0.223398
87,-0.209548,0.90595,0.223626
88,-0.209457,0.906023,0.22377
89,-0.209526,0.905998,0.223945
90,-0.20957,0.905929,0.224226
91,-0.209389,0.906072,0.224766
92,-0.209028,0.906328,0.225364
93,-0.208725,0.907,0.226279
94,-0.208548,0.907824,0.227278
95,-0.20859,0.908788,0.228494
96,-0.208834,0.909685,0.229807
97,-0.209138,0.910327,0.230871
98,-0.209658,0.910782,0.232015
99,-0.2102,0.910533,0.232318
100,-0.210622,0.910091,0.232437
101,-0.210835,0.909875,0.232613
102,-0.211141,0.910186,0.233182
103,-0.211731,0.910852,0.234118
104,-0.213536,0.916815,0.242197
105,-0.214608,0.919538,0.245666
106,-0.215805,0.922641,0.249402
107,-0.217193,0.925522,0.253129
108,-0.218686,0.9291,0.257773
109,-0.219961,0.932813,0.262821
110,-0.220882,0.936649,0.268061
111,-0.221893,0.940012,0.273443
112,-0.222692,0.944141,0.280029
113,-0.223407,0.948327,0.287038
114,-0.224346,0.952618,0.294351
115,-0.225415,0.95731,0.30157
116,-0.22722,0.961683,0.308917
117,-0.229252,0.967362,0.317284
118,-0.231287,0.973789,0.326146
119,-0.233016,0.980959,0.334922
120,-0.235245,0.987569,0.343875
121,-0.237262,0.99567,0.353929
122,-0.239053,1.00413,0.364227
123,-0.240702,1.013,0.374775
124,-0.242054,1.02121,0.384105
125,-0.243906,1.03044,0.394799
126,-0.245909,1.04046,0.405709
